Species,Weight,Length,Width
Bream,242,23.2,4.02
Bream,290,24,4.3056
Bream,340,23.9,4.6961
Bream,363,26.3,4.4555
Bream,430,26.5,5.134
Bream,450,26.8,4.9274
Bream,500,26.8,5.2785
Bream,390,27.6,4.69
Bream,450,27.6,4.8438
Bream,500,28.5,4.9594
Bream,475,28.4,5.1042
Bream,500,28.7,4.8146
Bream,500,29.1,4.368
Bream,340,29.5,5.0728
Bream,600,29.4,5.1708
Bream,600,29.4,5.58
Bream,700,30.4,5.2854
Bream,700,30.4,5.1975
Bream,610,30.9,5.1338
Bream,650,31,5.7276
Bream,575,31.3,5.5695
Bream,685,31.4,5.3704
Bream,620,31.5,5.2801
Bream,680,31.8,6.1306
Bream,700,31.9,5.589
Bream,725,31.8,6.0532
Bream,720,32,6.09
Bream,714,32.7,5.8515
Bream,850,32.8,6.1984
Bream,1000,33.5,6.603
Bream,920,35,6.3063
Bream,955,35,6.292
Bream,925,36.2,6.7497
Bream,975,37.4,6.7473
Bream,950,38,6.3705
Roach,40,12.9,2.268
Roach,69,16.5,2.8217
Roach,78,17.5,2.9044
Roach,87,18.2,3.1746
Roach,120,18.6,3.5742
Roach,0,19,3.3516
Roach,110,19.1,3.3957
Roach,120,19.4,3.2943
Roach,150,20.4,3.7544
Roach,145,20.5,3.5478
Roach,160,20.5,3.8203
Roach,140,21,3.325
Roach,160,21.1,3.8
Roach,169,22,3.8352
Roach,161,22,3.6312
Roach,200,22.1,4.1272
Roach,180,23.6,3.906
Roach,290,24,4.4968
Roach,272,25,4.7736
Roach,390,29.5,5.355
Whitefish,270,23.6,4.2476
Whitefish,270,24.1,4.2485
Whitefish,306,25.6,4.6816
Whitefish,540,28.5,6.562
Whitefish,800,33.7,6.5736
Whitefish,1000,37.3,6.525
Parkki,55,13.5,2.3265
Parkki,60,14.3,2.3142
Parkki,90,16.3,2.673
Parkki,120,17.5,2.9181
Parkki,150,18.4,3.2928
Parkki,140,19,3.2944
Parkki,170,19,3.4104
Parkki,145,19.8,3.1571
Parkki,200,21.2,3.6636
Parkki,273,23,4.144
Parkki,300,24,4.234
Perch,5.9,7.5,1.408
Perch,32,12.5,1.9992
Perch,40,13.8,2.432
Perch,51.5,15,2.6316
Perch,70,15.7,2.9415
Perch,100,16.2,3.3216
Perch,78,16.8,3.1234
Perch,80,17.2,3.0502
Perch,85,17.8,3.0368
Perch,85,18.2,2.772
Perch,110,19,3.555
Perch,115,19,3.3075
Perch,125,19,3.6675
Perch,130,19.3,3.534
Perch,120,20,3.4075
Perch,120,20,3.525
Perch,130,20,3.525
Perch,135,20,3.525
Perch,110,20,3.995
Perch,130,20.5,3.624
Perch,150,20.5,3.624
Perch,145,20.7,3.63
Perch,150,21,3.626
Perch,170,21.5,3.725
Perch,225,22,3.723
Perch,145,22,3.825
Perch,188,22.6,4.1658
Perch,180,23,3.6835
Perch,197,23.5,4.239
Perch,218,25,4.144
Perch,300,25.2,5.1373
Perch,260,25.4,4.335
Perch,265,25.4,4.335
Perch,250,25.4,4.5662
Perch,250,25.9,4.2042
Perch,300,26.9,4.6354
Perch,320,27.8,4.7716
Perch,514,30.5,6.018
Perch,556,32,6.3875
Perch,840,32.5,7.7957
Perch,685,34,6.864
Perch,700,34,6.7408
Perch,700,34.5,6.2646
Perch,690,34.6,6.3666
Perch,900,36.5,7.4934
Perch,650,36.5,6.003
Perch,820,36.6,7.3514
Perch,850,36.9,7.1064
Perch,900,37,7.225
Perch,1015,37,7.4624
Perch,820,37.1,6.63
Perch,1100,39,6.8684
Perch,1000,39.8,7.2772
Perch,1100,40.1,7.4165
Perch,1000,40.2,8.142
Perch,1000,41.1,7.5958
Pike,200,30,3.3756
Pike,300,31.7,4.158
Pike,300,32.7,4.3844
Pike,300,34.8,4.0198
Pike,430,35.5,4.5765
Pike,345,36,3.977
Pike,456,40,4.3225
Pike,510,40,4.459
Pike,540,40.1,5.1296
Pike,500,42,4.896
Pike,567,43.2,4.87
Pike,770,44.8,5.376
Pike,950,48.3,6.1712
Pike,1250,52,6.9849
Pike,1600,56,6.144
Pike,1550,56,6.144
Pike,1650,59,7.48
Smelt,6.7,9.3,1.0476
Smelt,7.5,10,1.16
Smelt,7,10.1,1.1484
Smelt,9.7,10.4,1.38
Smelt,9.8,10.7,1.2772
Smelt,8.7,10.8,1.2852
Smelt,10,11.3,1.2838
Smelt,9.9,11.3,1.1659
Smelt,9.8,11.4,1.1484
Smelt,12.2,11.5,1.3936
Smelt,13.4,11.7,1.269
Smelt,12.2,12.1,1.2558
Smelt,19.7,13.2,2.0672
Smelt,19.9,13.8,1.8792